,,LU0589470672,LU0376447578,LU0376446257,LU0471299072,LU1893597564,DK0060189041,DK0010264456,DK0060051282,LU0332084994,DK0016023229,DK0061553245,DK0016261910,DK0016262728,DK0016262058,DK0010106111,DK0060240687,DK0060005254,DK0010301324,DK0060300929,DK0060158160,LU1028171921,LU0230817339,DK0060815090,DK0061067220,DK0060498509,DK0060498269,DK0061134194,DK0016300403,DK0061150984,IE00B02KXK85,DE000A0Q4R36,IE00B27YCF74,IE00B1XNHC34,DE000A0H08H3,DE000A0Q4R28,IE00B0M63516,IE00B0M63623,IE00B5WHFQ43,DE000A0H08S0,IE00B42Z5J44,DE000A0H08Q4,IE00B5377D42,IE00B0M63391,IE00B2QWCY14,DK0061544178,DK0061544418
,,BGF World Energy A2 CHF Hedged,BGF Swiss Small & MidCap Opps I2,BGF Swiss Small & MidCap Opps A2,BGF Nutrition A4 EUR Hedged,BSF European Unconstrained Eq I2 PF EUR,BLS Invest Globale Aktier KL,Danske Invest Bioteknologi Indeks KL,Danske Invest Flexinv Korte Obl KL,Danske Invest Danish Mortgage Bd A SEK h,Danske Invest Teknologi Indeks KL,Wealth Invest HP Engros Korte Danske Obl,Jyske Invest Emerg Market Bonds EUR CL,Jyske Invest High Yield Corp Bond CL,Jyske Invest Stable Strategy EUR,Jyske Invest Korte Obligationer KL,LI Indeksobligationer Globale,Maj Invest Vækstaktier,Nordea Invest Global Stars KL 1,Nordea Invest Portefølje Fleksibel,Nykredit Alpha Mira,T. Rowe Price Eurp Smlr Cm Eq Q(GBP),T. Rowe Price Japanese Eq A,Sydinvest Virksomhedsobl HY W DKK dh,Wealth Invest AKL Afkast+ I,Formuepleje Fokus,Formuepleje Epikur,Lån & Spar Invest - Danske Akt Basis Akk,Sampension Invest GEM II,Wealth Invest HP Invest Korte Danske Obl,iShares China Large Cap ETF USD Dist,iShares STOXX Europe 600 HealthCare (DE),iShares Global Timber&Forestry ETF $ Dis,iShares Global Clean Engy Trns ETF $Dist,iShares STOXX Europe 600 Food&Bev (DE),iShares STOXX Europe 600 Auto&P (DE) dis,iShares MSCI Brazil ETF USD Dist,iShares MSCI Taiwan ETF USD Dist,iShares MSCI Mexico Capped ETF USD Acc,iShares STOXX Europe 600 Trav & Leis(DE),iShares MSCI Japan EUR Hedged ETF Acc,iShares STOXX Europe 600 Tech (DE) dis,iShares MSCI Australia ETF USD Acc,iShares MSCI Korea ETF USD Dist,iShares S&P SmallCap 600 ETF USD Dist,Nordea Invest Global Stars KL 2,Nordea Invest Globale Obligationer KL 2
DK0016023229,Danske Invest Teknologi Indeks KL,0.000071,-0.000062,-0.000008,-0.000032,0.000009,0.000009,-0.000003,0.000011,0.000021,0.000037,0.000010,-0.000003,0.000013,0.000002,0.000010,0.000012,-0.000004,0.000028,0.000024,0.000034,0.000105,-0.000111,0.000016,0.000002,0.000034,0.000039,0.000024,0.000010,0.000010,-0.000041,0.000010,-0.000014,0.000056,0.000028,0.000004,-0.000058,0.000005,-0.000087,-0.000003,-0.000217,-0.000025,0.000017,-0.000085,-0.000016,0.000028,0.000018
DK0061553245,Wealth Invest HP Engros Korte Danske Obl,0.000104,0.000057,0.000097,-0.000013,0.000039,0.000059,0.000026,0.000030,0.000110,0.000010,0.000068,0.000156,0.000067,0.000077,0.000034,0.000087,0.000040,0.000088,0.000118,0.000137,0.000021,0.000138,0.000062,0.000119,0.000149,0.000225,0.000057,0.000073,0.000068,0.000056,0.000115,0.000059,0.000149,0.000053,0.000083,0.000016,0.000047,0.000101,0.000040,0.000097,0.000014,0.000055,0.000130,0.000096,0.000088,0.000066
DK0016261910,Jyske Invest Emerg Market Bonds EUR CL,0.005883,0.009916,0.003112,0.003629,0.002554,0.003392,0.003240,0.000380,0.000995,-0.000003,0.000156,0.006084,0.002315,0.001815,0.000169,0.001206,0.000469,0.003893,0.001784,0.000559,0.002404,0.004493,0.001378,0.006531,0.000813,0.003902,0.004068,0.000257,0.000156,0.006055,0.002894,0.004087,0.005778,0.003554,0.005253,0.007193,0.004387,0.006388,0.003864,0.005094,0.004339,0.005529,0.005151,0.002179,0.003893,0.000380
DK0016262728,Jyske Invest High Yield Corp Bond CL,0.003977,0.005360,0.002701,0.002635,0.002220,0.003383,0.004159,0.000302,0.000782,0.000013,0.000067,0.002315,0.003762,0.001054,0.000075,0.000322,-0.000206,0.003252,0.001076,0.000152,0.003083,0.003009,0.001247,0.003301,0.000346,0.002723,0.003622,-0.000088,0.000067,0.003916,0.002177,0.003450,0.003972,0.001748,0.004666,0.003190,0.003048,0.003485,0.003479,0.003936,0.003789,0.004507,0.003220,0.002469,0.003252,0.000377
DK0016262058,Jyske Invest Stable Strategy EUR,0.004429,0.006259,0.003210,0.003272,0.002537,0.003654,0.004578,0.000223,0.000931,0.000002,0.000077,0.001815,0.001054,0.001910,0.000105,0.000754,0.000175,0.003886,0.001888,0.000175,0.002784,0.004229,0.000954,0.004266,0.000522,0.003957,0.003606,0.000226,0.000077,0.004818,0.003452,0.004300,0.004993,0.003405,0.005108,0.005236,0.003634,0.004367,0.003559,0.004870,0.004332,0.004411,0.004000,0.003556,0.003886,0.000674
DK0010106111,Jyske Invest Korte Obligationer KL,0.000098,0.000118,0.000022,-0.000037,0.000002,0.000010,0.000004,0.000033,0.000126,0.000010,0.000034,0.000169,0.000075,0.000105,0.000079,0.000151,0.000138,0.000018,0.000220,0.000110,-0.000074,0.000197,0.000063,0.000173,0.000177,0.000158,-0.000057,0.000118,0.000034,0.000019,0.000052,0.000097,0.000202,0.000012,-0.000136,0.000137,0.000055,0.000109,-0.000104,-0.000033,-0.000064,0.000052,0.000079,0.000081,0.000018,0.000131
DK0060240687,LI Indeksobligationer Globale,0.000169,0.000732,-0.000369,-0.000389,-0.000357,-0.001099,-0.001738,0.000076,0.000605,0.000012,0.000087,0.001206,0.000322,0.000754,0.000151,0.002709,0.001150,-0.000563,0.001769,0.000090,-0.001539,0.000418,0.000030,0.000638,0.000609,-0.000443,-0.000648,0.000870,0.000087,-0.000765,0.000003,-0.000882,-0.000427,0.000644,-0.002125,0.001426,-0.000292,0.000426,-0.001647,-0.001468,-0.001099,0.000290,-0.000124,-0.001031,-0.000563,0.001270
DK0060005254,Maj Invest Vækstaktier,0.000016,0.002011,-0.000936,-0.000836,-0.000927,-0.001379,-0.000551,-0.000088,0.000834,-0.000004,0.000040,0.000469,-0.000206,0.000175,0.000138,0.001150,0.003061,-0.000592,0.001151,-0.000244,-0.001951,0.000313,-0.000323,-0.000363,0.000363,-0.001002,-0.001045,0.000621,0.000040,-0.000484,0.000156,-0.000993,0.000406,0.000817,-0.002633,0.001750,-0.000376,0.000132,-0.001349,-0.002495,-0.001829,-0.000306,0.000036,-0.001262,-0.000592,0.001199
DK0010301324,Nordea Invest Global Stars KL 1,0.019656,0.022009,0.012681,0.011628,0.010943,0.016663,0.023799,0.000705,0.002655,0.000028,0.000088,0.003893,0.003252,0.003886,0.000018,-0.000563,-0.000592,0.021016,0.005166,0.000540,0.014039,0.015933,0.002815,0.013665,0.000860,0.017389,0.015587,-0.000306,0.000088,0.020378,0.015421,0.019281,0.020145,0.013722,0.023938,0.018866,0.016444,0.015644,0.017222,0.019284,0.018644,0.019151,0.016161,0.017644,0.021016,0.002299
DK0060300929,Nordea Invest Portefølje Fleksibel,0.004079,0.004132,0.003346,0.002381,0.003169,0.004709,0.007844,0.000292,0.001399,0.000024,0.000118,0.001784,0.001076,0.001888,0.000220,0.001769,0.001151,0.005166,0.009492,0.000720,0.003389,0.005718,0.000625,0.004826,0.001356,0.005582,0.004559,0.000976,0.000118,0.005503,0.005652,0.006135,0.006464,0.004760,0.004252,0.004210,0.004419,0.005874,0.004696,0.003999,0.004818,0.004666,0.004689,0.004535,0.005166,0.002468
